window,estimator,fft_size,length,bin_step_bins,worst_underread_db,worst_overread_db,worst_abs_bias_db,rms_bias_db,mean_abs_bias_db,p95_abs_bias_db,enbw_bins,scalloping_loss_db,main_lobe_width_bins
blackman,sampled,256,129,0.50390625,0.2730946764694073,1.928654933106574e-15,0.2730946764694073,0.12210160389790478,0.0909793487462401,0.24642086594113943,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-linear,256,129,0.50390625,0.03117855650733494,1.928654933106574e-15,0.03117855650733494,0.015379639857143813,0.011844852995120682,0.02911772482047669,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-log,256,129,0.50390625,0.0,0.004975548811817838,0.004975548811817838,0.002433315265265787,0.001870457253981471,0.004630314514484619,1.740247661564626,1.0817746311954988,6.046875
blackman,sampled,512,129,0.251953125,0.06817360801137543,1.928654933106574e-15,0.06817360801137543,0.030493446769255535,0.022724840574870137,0.06152375525093317,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-linear,512,129,0.251953125,0.0020651564017231307,1.928654933106574e-15,0.0020651564017231307,0.0010151950573754228,0.00078146946572414,0.0019255063270203028,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-log,512,129,0.251953125,0.0,0.00030167355844638465,0.00030167355844638465,0.00014796705547018234,0.00011384272013146502,0.00028102040236738376,1.740247661564626,1.0817746311954988,6.046875
blackman,sampled,1024,129,0.1259765625,0.01703717122291378,1.928654933106574e-15,0.01703717122291378,0.0076213703953012185,0.005679963645594374,0.01537586441102594,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-linear,1024,129,0.1259765625,0.0001310155207236979,1.928654933106574e-15,0.0001310155207236979,6.434259396492228e-05,4.9520878045377475e-05,0.00012210251724237018,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-log,1024,129,0.1259765625,0.0,1.8715330262260386e-05,1.8715330262260386e-05,9.186046939547555e-06,7.069063856059966e-06,1.7438170219431637e-05,1.740247661564626,1.0817746311954988,6.046875
blackman,sampled,2048,129,0.06298828125,0.004258903740264821,1.928654933106574e-15,0.004258903740264821,0.001905218233661835,0.0014199130564837808,0.003843649215979715,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-linear,2048,129,0.06298828125,8.219349508361497e-06,1.928654933106574e-15,8.219349508361497e-06,4.035570471472728e-06,3.1058133164071154e-06,7.65933256968096e-06,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-log,2048,129,0.06298828125,0.0,1.1675544855168155e-06,1.1675544855168155e-06,5.731698328531468e-07,4.411025250720426e-07,1.0879426038439142e-06,1.740247661564626,1.0817746311954988,6.046875
blackman,sampled,4096,129,0.031494140625,0.0010647016240648793,1.928654933106574e-15,0.0010647016240648793,0.00047629678701143895,0.000354973398988047,0.0009608925026826162,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-linear,4096,129,0.031494140625,5.141938901196682e-07,1.928654933106574e-15,5.141938901196682e-07,2.524451993438473e-07,1.9428202155999372e-07,4.7914641117295e-07,1.740247661564626,1.0817746311954988,6.046875
blackman,parabolic-log,4096,129,0.031494140625,0.0,7.293859134226845e-08,7.293859134226845e-08,3.580817926704826e-08,2.755777734383139e-08,6.796612744810058e-08,1.740247661564626,1.0817746311954988,6.046875
blackman-harris,sampled,256,129,0.50390625,0.2057811394575968,0.0,0.2057811394575968,0.09203089649880104,0.06858088719909887,0.18569955843199965,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-linear,256,129,0.50390625,0.01881187572306276,0.0,0.01881187572306276,0.00927377607270586,0.007142199413207232,0.017562231195436737,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-log,256,129,0.50390625,2.892982399659862e-15,0.0018631733623904415,0.0018631733623904415,0.0009129618914040711,0.0007022006099576836,0.0017350368738835971,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,sampled,512,129,0.251953125,0.05140715027662251,0.0,0.05140715027662251,0.022995539875282845,0.017137595556303085,0.046393836319771446,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-linear,512,129,0.251953125,0.001233832911718425,0.0,0.001233832911718425,0.000606412893123816,0.0004667905571627213,0.0011502845260930432,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-log,512,129,0.251953125,2.892982399659862e-15,0.00011469088106850898,0.00011469088106850898,5.6280245343685495e-05,4.330692068767093e-05,0.0001068555460147701,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,sampled,1024,129,0.1259765625,0.012849408619127792,0.0,0.012849408619127792,0.005748124584822345,0.004283922886445251,0.011596521528145195,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-linear,1024,129,0.1259765625,7.807219013289383e-05,0.0,7.807219013289383e-05,3.8339799735964165e-05,2.950780626977879e-05,7.275907114693032e-05,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-log,1024,129,0.1259765625,2.892982399659862e-15,7.141306914261473e-06,7.141306914261473e-06,3.505565048340695e-06,2.6977787496859833e-06,6.654229557529331e-06,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,sampled,2048,129,0.06298828125,0.0032122035399456675,0.0,0.0032122035399456675,0.0014369836398500384,0.001070950981389674,0.0028990093361678203,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-linear,2048,129,0.06298828125,4.8946816495606085e-06,0.0,4.8946816495606085e-06,2.4031798569107344e-06,1.849507025976655e-06,4.561158224429189e-06,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-log,2048,129,0.06298828125,2.892982399659862e-15,4.4591402940725043e-07,4.4591402940725043e-07,2.1891199095380067e-07,1.6847269412120812e-07,4.155125159130071e-07,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,sampled,4096,129,0.031494140625,0.0008030415976450719,0.0,0.0008030415976450719,0.0003592429410905158,0.0002677358867383319,0.0007247447694741125,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-linear,4096,129,0.031494140625,3.061554493669804e-07,0.0,3.061554493669804e-07,1.5030754403915782e-07,1.15676755206776e-07,2.852874206025123e-07,2.0200066670005885,0.8127833430614497,8.0782470703125
blackman-harris,parabolic-log,4096,129,0.031494140625,2.892982399659862e-15,2.7863109980921034e-08,2.7863109980921034e-08,1.3679099877731544e-08,1.052738283646738e-08,2.596365296073226e-08,2.0200066670005885,0.8127833430614497,8.0782470703125
flattop,sampled,256,129,0.50390625,4.821637332766436e-15,0.002309529701686721,0.002309529701686721,0.001251959601103546,0.0009884510841550718,0.0022277770328310714,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-linear,256,129,0.50390625,4.821637332766436e-15,0.013363062883432253,0.013363062883432253,0.00704698066773442,0.0057088270969924675,0.012528208417965859,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-log,256,129,0.50390625,4.821637332766436e-15,0.013426822611658108,0.013426822611658108,0.007071177143254338,0.005726409212745849,0.012583063583114201,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,sampled,512,129,0.251953125,4.821637332766436e-15,0.0008853456175612869,0.0008853456175612869,0.0004094221241220392,0.00030900244036770336,0.0008081397937009326,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-linear,512,129,0.251953125,4.821637332766436e-15,0.00091066217870678,0.00091066217870678,0.00040627223586759266,0.00030443403698683305,0.0008070532478330281,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-log,512,129,0.251953125,4.821637332766436e-15,0.0009106625107670566,0.0009106625107670566,0.0004062730572069866,0.00030443527307323436,0.0008070532724500209,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,sampled,1024,129,0.1259765625,4.821637332766436e-15,0.00024079724156242662,0.00024079724156242662,0.00010855359822149219,8.114932085613964e-05,0.0002178916295940265,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-linear,1024,129,0.1259765625,4.821637332766436e-15,5.815076710460441e-05,5.815076710460441e-05,2.837036946406223e-05,2.1748255820357013e-05,5.4168566908478535e-05,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-log,1024,129,0.1259765625,4.821637332766436e-15,5.8168048111252696e-05,5.8168048111252696e-05,2.8379343192515328e-05,2.1755265734121808e-05,5.4185018475454216e-05,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,sampled,2048,129,0.06298828125,4.821637332766436e-15,6.141898998379365e-05,6.141898998379365e-05,2.752796082557764e-05,2.0531483110915185e-05,5.5466433714216045e-05,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-linear,2048,129,0.06298828125,4.821637332766436e-15,3.6539275496779293e-06,3.6539275496779293e-06,1.7914799901974834e-06,1.3775199583136018e-06,3.404651230386093e-06,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-log,2048,129,0.06298828125,4.821637332766436e-15,3.655656221653643e-06,3.655656221653643e-06,1.7923384766111574e-06,1.3781826570511806e-06,3.406269035654721e-06,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,sampled,4096,129,0.031494140625,4.821637332766436e-15,1.5431030427167457e-05,1.5431030427167457e-05,6.906370514074185e-06,5.148137909150907e-06,1.3928742753058273e-05,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-linear,4096,129,0.031494140625,4.821637332766436e-15,2.286760819977959e-07,2.286760819977959e-07,1.1223087180265494e-07,8.635437046670901e-08,2.130847819127079e-07,3.7998174877405715,0.009125678278112163,10.2198486328125
flattop,parabolic-log,4096,129,0.031494140625,4.821637332766436e-15,2.2879581482154503e-07,2.2879581482154503e-07,1.122898159766967e-07,8.639976672002875e-08,2.1319646838848851e-07,3.7998174877405715,0.009125678278112163,10.2198486328125
